2,8,3,10,4,8,3,2,4,2,3,12,7,0.262
1,3,4,12,3,13,3,11,1,1,2,1,8,0.09399999999999997
4,3,2,6,4,2,2,12,2,8,4,10,9,0.012800000000000034
1,1,1,10,3,11,3,6,4,13,1,11,8,0.06520000000000004
2,8,2,13,1,13,4,4,1,8,2,1,7,0.7352000000000001
2,6,4,8,2,8,4,9,1,12,3,11,8,0.11280000000000001
1,3,2,13,2,3,2,2,4,5,4,7,8,0.15800000000000003
2,3,3,8,2,6,1,3,4,7,1,4,8,0.14
2,3,2,9,1,3,2,8,4,9,4,8,7,0.3812
1,6,1,11,3,4,1,12,2,2,3,2,8,0.062000000000000055
1,3,2,5,1,10,4,3,2,13,3,13,7,0.17320000000000002
2,7,4,10,4,9,1,4,1,13,3,5,9,0.03520000000000001
1,3,2,13,1,1,2,3,1,12,3,1,7,0.22199999999999998
2,2,1,5,2,9,2,1,3,5,4,12,8,0.18600000000000005
3,4,1,11,1,4,1,10,4,11,2,4,3,0.9492
4,8,1,11,4,9,4,5,1,10,1,2,9,0.20479999999999998
1,2,4,3,3,5,2,8,1,12,3,4,9,0.11519999999999997
2,5,3,9,1,10,1,8,2,7,1,4,9,0.11719999999999997
2,2,4,4,1,9,3,12,2,4,2,6,8,0.12560000000000004
3,7,3,10,2,9,1,3,3,4,3,1,9,0.21799999999999997
4,1,1,4,1,5,4,9,3,8,2,13,9,0.0008000000000000229
1,13,4,13,4,4,3,12,4,3,2,4,7,0.5684
1,4,3,12,4,2,4,7,2,13,2,12,8,0.3548
2,6,3,11,4,13,2,13,3,4,2,2,8,0.08120000000000005
4,4,1,6,2,4,1,11,3,9,4,11,7,0.1844
3,3,1,7,4,6,3,8,1,1,4,11,9,0.014399999999999968
2,4,3,6,2,8,2,7,1,10,4,9,5,0.40800000000000003
1,2,3,2,2,9,1,12,1,3,4,6,8,0.06399999999999995
2,7,1,10,4,4,3,13,2,8,1,1,9,0.031200000000000006
3,6,3,10,3,11,2,12,2,8,4,1,9,0.1048
4,3,2,11,1,3,1,7,3,6,2,6,7,0.1532
3,4,3,8,4,7,1,2,3,11,1,3,9,0.0232
2,5,1,13,4,12,3,2,3,4,2,2,8,0.10399999999999998
1,6,1,10,4,4,2,8,2,11,1,7,9,0.1764
3,6,2,13,4,5,2,10,1,5,2,12,8,0.11319999999999997
2,8,2,13,1,5,1,1,3,7,1,10,9,0.045599999999999974
3,1,2,7,1,13,1,5,4,1,4,13,7,0.13639999999999997
4,3,1,7,1,4,1,9,4,2,3,12,9,0.011600000000000055
2,4,1,8,4,4,3,9,4,11,4,1,8,0.13319999999999999
1,3,2,10,2,5,2,12,1,11,1,9,9,0.16720000000000002
2,3,1,9,1,10,3,5,2,11,2,9,8,0.15759999999999996
4,8,4,11,4,10,3,7,4,3,2,10,8,0.27759999999999996
1,2,3,5,3,8,2,6,1,10,1,3,9,0.07840000000000003
1,3,2,6,2,9,3,3,1,9,4,2,7,0.29879999999999995
2,2,1,13,4,3,1,5,1,3,4,8,8,0.08999999999999997
3,2,1,7,2,10,2,3,1,12,1,10,8,0.02839999999999998
2,7,4,11,3,5,3,11,4,8,3,7,7,0.3932
3,3,2,7,4,11,1,8,3,10,2,4,9,0.038799999999999946
2,4,3,4,3,10,1,3,2,13,1,11,8,0.08720000000000006
