3,3,4,10,4,6,4,9,4,7,1,12,3,9,8,0.0040000000000000036
1,10,2,11,4,6,4,4,2,10,1,11,3,8,7,0.77
3,7,1,10,3,10,4,10,1,4,2,8,2,7,3,0.9896
2,1,2,6,3,11,3,2,3,6,2,12,3,4,8,0.01639999999999997
2,6,1,8,1,3,2,4,3,11,4,3,1,5,8,0.0
3,10,1,11,1,12,1,7,3,7,3,12,2,6,7,0.14680000000000004
2,5,4,11,4,1,1,12,4,12,1,3,3,6,8,0.012800000000000034
3,8,1,12,1,7,2,7,3,12,4,13,3,5,7,0.34199999999999997
4,6,2,10,2,4,2,3,3,3,3,6,4,5,7,0.05920000000000003
4,10,1,13,3,1,1,4,2,1,1,1,4,8,6,0.1432
1,1,2,9,3,7,1,4,4,4,3,1,2,12,7,0.10919999999999996
3,5,2,6,4,12,4,11,2,2,1,5,3,3,8,0.13439999999999996
1,7,1,13,2,1,4,12,2,11,2,9,1,11,8,0.03759999999999997
3,3,4,6,3,8,3,4,1,10,1,4,2,6,7,0.11519999999999997
4,8,1,9,3,13,1,7,1,13,3,11,3,5,8,0.0023999999999999577
3,10,4,10,4,11,4,5,4,2,3,11,1,10,3,0.9376
4,7,2,12,2,6,3,1,1,12,3,5,2,7,7,0.7787999999999999
2,2,3,4,4,11,4,9,1,1,2,11,4,1,7,0.0048000000000000265
1,5,1,10,4,5,2,4,3,5,1,3,1,2,6,0.1652
4,2,3,3,2,11,2,6,3,12,3,9,1,9,8,0.00039999999999995595
3,2,1,5,1,1,4,13,2,6,1,3,4,3,8,0.0
1,1,1,6,1,10,1,11,1,5,3,3,4,9,4,0.9024
2,3,2,9,2,12,1,8,4,9,4,1,1,5,8,0.25639999999999996
4,1,2,11,2,5,1,6,2,6,3,10,2,10,7,0.048799999999999955
1,4,3,11,4,2,2,2,1,1,4,10,2,3,8,0.00039999999999995595
2,6,4,9,2,13,3,6,1,8,1,5,1,12,8,0.06440000000000001
1,8,1,11,4,4,4,9,2,4,1,2,3,8,7,0.28159999999999996
3,3,1,8,4,1,1,12,3,6,4,2,1,6,8,0.0
3,9,2,12,4,4,3,4,4,5,2,13,3,8,8,0.04079999999999995
1,10,3,12,1,9,2,4,4,2,1,1,1,2,8,0.00880000000000003
1,1,4,4,1,8,3,6,2,11,2,3,4,1,8,0.032399999999999984
4,3,4,7,3,13,4,11,3,4,2,11,3,6,8,0.0
1,5,2,12,3,9,2,5,3,8,1,11,4,7,8,0.005199999999999982
1,6,4,12,2,4,4,3,3,5,1,11,4,4,8,0.0048000000000000265
1,8,3,8,4,8,4,7,1,6,1,11,1,7,3,0.9864
2,8,2,9,4,12,1,5,1,3,1,2,2,4,9,0.0
1,4,3,4,3,1,2,13,2,6,2,12,1,8,8,0.04479999999999995
3,9,3,13,3,4,1,6,1,13,3,3,4,3,7,0.43879999999999997
2,2,4,13,3,3,3,9,4,11,2,4,3,12,9,0.007199999999999984
1,2,3,2,3,3,2,5,4,7,2,13,3,6,8,0.0031999999999999806
3,11,1,12,3,5,3,4,3,12,3,3,2,11,4,0.8288
4,3,1,4,2,9,3,10,2,3,2,10,3,6,7,0.09199999999999997
2,1,4,9,3,8,2,7,1,5,2,8,1,8,6,0.0
1,3,3,9,1,11,3,3,2,9,1,9,2,5,3,0.9648
2,4,1,12,3,6,3,10,1,3,4,12,4,8,8,0.4736
3,1,4,9,2,11,1,9,4,4,4,7,1,10,8,0.0504
1,4,1,10,2,5,2,11,1,8,3,9,1,9,8,0.0023999999999999577
4,11,4,12,3,10,4,6,2,3,4,1,3,13,9,0.018000000000000016
4,6,2,10,2,2,1,10,1,7,4,1,3,6,7,0.8656
3,5,2,10,4,4,2,12,2,13,1,7,1,3,9,0.0023999999999999577
4,4,4,10,4,3,1,3,3,4,1,2,2,2,7,0.23360000000000003
2,4,4,12,2,5,1,10,1,12,2,3,4,4,7,0.7416
4,5,4,6,4,10,3,10,4,7,1,13,2,13,7,0.0028000000000000247
3,1,4,2,4,1,2,6,3,3,3,9,3,12,8,0.021199999999999997
3,9,1,11,1,2,2,1,3,1,2,2,4,2,3,0.626
2,7,4,13,1,3,4,10,3,8,4,4,3,4,8,0.03920000000000001
1,6,1,12,2,6,2,11,2,10,3,1,4,13,8,0.07440000000000002
2,1,3,3,4,12,4,9,2,4,3,8,2,12,8,0.0
1,2,3,13,3,2,3,8,4,1,1,13,2,6,7,0.8424
4,3,3,6,4,2,3,1,3,7,1,9,3,13,9,0.0
4,7,3,8,1,10,1,7,4,1,4,4,4,10,7,0.42479999999999996
4,1,1,13,4,10,1,12,3,13,4,2,1,3,8,0.4296
4,3,1,6,2,3,2,12,2,10,3,1,3,4,8,0.048799999999999955
3,1,1,3,1,10,2,4,3,11,3,6,3,5,9,0.0
3,4,1,5,2,11,2,10,2,9,3,12,1,7,9,0.00039999999999995595
4,4,2,8,4,5,4,1,3,11,1,2,2,9,9,0.0
4,4,4,10,2,11,3,2,3,7,2,4,4,8,8,0.07879999999999998
4,6,2,12,1,7,2,5,3,9,2,3,4,10,9,0.0031999999999999806
3,6,4,10,2,13,3,12,4,12,1,1,2,7,8,0.01759999999999995
2,7,3,9,4,13,4,1,4,2,4,9,4,8,4,0.16400000000000003
1,4,3,8,2,5,2,10,2,8,1,1,1,11,8,0.10840000000000005
2,10,2,12,4,2,2,4,2,3,4,10,1,12,7,0.782
3,1,2,4,1,13,2,6,4,2,2,10,4,9,9,0.0
2,3,4,9,3,7,3,10,2,9,1,3,4,7,7,0.22919999999999996
2,2,3,5,2,8,2,13,4,3,1,6,2,10,9,0.0
4,1,1,6,4,6,2,12,1,3,4,8,2,6,6,0.866
3,10,1,11,1,2,4,2,2,11,4,13,3,4,7,0.3064
1,4,4,12,3,13,3,9,4,13,3,1,3,10,8,0.0031999999999999806
4,6,4,8,3,8,3,11,3,7,2,10,2,13,8,0.03159999999999996
3,2,2,4,3,3,1,10,3,12,2,6,1,11,9,0.0
1,2,2,4,4,3,4,12,2,1,1,4,2,13,5,0.9588
3,12,1,13,1,6,4,2,2,4,1,3,1,10,9,0.0020000000000000018
1,1,1,6,4,2,4,3,3,1,2,10,3,2,7,0.09560000000000002
3,4,4,4,3,10,2,5,4,2,2,3,3,7,8,0.09199999999999997
1,4,2,12,4,8,1,11,2,4,2,9,1,2,8,0.08399999999999996
1,2,2,12,1,5,4,8,4,12,3,8,1,8,3,0.7924
1,4,3,8,3,2,4,7,3,11,2,10,4,6,9,0.0
1,5,1,9,4,10,1,1,4,1,3,4,2,3,8,0.00039999999999995595
3,4,2,13,2,9,4,13,1,8,4,7,3,12,8,0.5016
1,1,2,4,3,4,1,5,3,6,3,5,3,11,7,0.006000000000000005
1,7,4,13,3,4,1,10,2,13,4,12,1,6,8,0.5591999999999999
4,4,4,7,2,12,4,10,4,9,1,6,1,9,8,0.00039999999999995595
4,5,3,12,1,7,4,7,3,9,3,7,2,6,6,0.03720000000000001
1,3,1,9,2,6,1,1,3,7,1,12,1,8,4,0.9319999999999999
3,3,1,6,2,4,4,2,2,5,1,4,3,13,5,0.8928
3,7,3,8,2,7,3,6,4,4,3,9,2,6,7,0.19879999999999998
4,9,1,13,1,10,1,6,1,4,4,1,4,12,9,0.018000000000000016
2,3,1,8,3,6,3,2,4,1,3,11,2,12,9,0.0
4,7,3,8,1,5,2,4,4,8,4,2,3,13,8,0.22999999999999998
1,5,2,11,4,13,3,4,3,12,2,7,1,7,8,0.060799999999999965
3,1,2,8,3,10,4,5,3,9,3,7,3,4,4,0.1856
4,2,2,9,2,4,1,7,3,12,2,7,2,10,8,0.0031999999999999806
4,6,4,8,3,13,1,8,2,1,4,1,4,13,7,0.31079999999999997
3,5,1,12,3,3,1,1,4,5,1,8,4,7,8,0.132
1,6,4,12,1,11,1,3,3,6,1,4,1,12,4,0.34240000000000004
1,8,1,11,3,4,4,9,3,9,1,5,1,10,8,0.0023999999999999577
3,1,4,10,3,13,1,7,1,13,2,12,1,12,7,0.13239999999999996
1,2,4,10,2,9,2,12,3,10,2,7,3,2,7,0.5192
2,11,2,12,3,1,3,12,2,8,4,3,1,12,6,0.904
3,1,3,7,1,12,3,11,1,11,1,6,3,3,8,0.00039999999999995595
3,8,4,13,3,2,2,3,2,10,4,4,3,7,9,0.0043999999999999595
1,11,2,13,2,11,4,3,3,1,2,12,1,3,7,0.346
3,4,1,7,4,4,1,12,2,4,4,13,1,11,6,0.8696
2,12,4,12,2,6,4,11,4,2,3,3,2,11,7,0.5748
2,2,4,9,4,7,3,7,1,6,3,2,2,11,7,0.11880000000000002
1,4,3,5,2,7,3,13,2,1,1,6,4,3,5,1.0
2,1,2,13,2,10,3,6,1,6,2,6,2,3,4,0.15839999999999999
1,3,1,4,1,7,2,6,4,2,4,3,2,5,5,0.8872
4,10,3,13,1,1,4,7,4,5,1,13,3,10,7,0.9588
4,1,1,9,1,6,4,12,1,10,2,5,1,2,9,0.0
3,6,2,8,2,9,4,10,2,4,4,9,3,11,8,0.005199999999999982
3,6,2,9,1,4,1,9,2,13,1,8,4,12,8,0.1644
4,9,4,13,4,4,2,6,4,5,1,5,3,8,8,0.012399999999999967
2,2,4,8,4,4,4,2,2,13,4,7,3,2,6,0.698
1,1,2,13,1,10,1,9,3,11,3,5,2,3,9,0.006800000000000028
